Date,Open,High,Low,Close,Adj Close,Volume
2020-08-21,337.920013,339.720001,337.549988,339.480011,321.065399,55106600
2020-08-24,342.119995,343.000000,339.450012,342.920013,324.318817,48588700
2020-08-25,343.529999,344.209991,342.269989,344.119995,325.453735,38463400
2020-08-26,344.760010,347.859985,344.170013,347.570007,328.716644,50790200
2020-08-27,348.510010,349.899994,346.529999,348.329987,329.435333,58034100
2020-08-28,349.440002,350.720001,348.149994,350.579987,331.563385,48588900
2020-08-31,350.350006,351.299988,349.059998,349.309998,330.362244,66099200
2020-09-01,350.209991,352.709991,349.239990,352.600006,333.473755,54908700
2020-09-02,354.670013,358.750000,353.429993,357.700012,338.297180,69540000
2020-09-03,355.869995,356.380005,342.589996,345.390015,326.654907,148011100
2020-09-04,346.130005,347.829987,334.869995,342.570007,323.987854,139156300
2020-09-08,336.709991,342.640015,332.880005,333.209991,315.135559,114465300
2020-09-09,337.549988,342.459991,336.609985,339.790009,321.358673,91462300
2020-09-10,341.820007,342.529999,332.850006,333.890015,315.778656,90569500
2020-09-11,335.820007,336.970001,331.000000,334.059998,315.939453,84680200
2020-09-14,337.489990,340.380005,334.220001,338.459991,320.100769,65605700
2020-09-15,341.119995,342.019989,338.470001,340.170013,321.718018,52920900
2020-09-16,341.510010,343.059998,338.519989,338.820007,320.441254,82096000
2020-09-17,333.559998,337.700012,332.989990,335.839996,317.622925,91523300
2020-09-18,335.369995,335.489990,327.970001,330.649994,313.966217,105877900
2020-09-21,325.700012,327.130005,321.730011,326.970001,310.471893,99450800
2020-09-22,328.570007,330.899994,325.859985,330.299988,313.633881,63612100
2020-09-23,330.899994,331.200012,322.100006,322.640015,306.360382,93112200
2020-09-24,321.220001,326.799988,319.799988,323.500000,307.176971,76681300
2020-09-25,322.579987,329.579987,321.640015,328.730011,312.143097,71069400
2020-09-28,333.220001,334.959991,332.149994,334.190002,317.327606,64584600
2020-09-29,333.970001,334.769989,331.619995,332.369995,315.599396,51304000
2020-09-30,333.089996,338.290009,332.880005,334.890015,317.992340,104081100
2020-10-01,337.690002,338.739990,335.010010,337.040009,320.033844,88698700
2020-10-02,331.700012,337.010010,331.190002,333.839996,316.995239,89431100
2020-10-05,336.059998,339.959991,336.010010,339.760010,322.616577,45713100
2020-10-06,339.910004,342.170013,334.380005,334.929993,318.030243,90128900
2020-10-07,338.119995,341.630005,338.089996,340.760010,323.566101,56999600
2020-10-08,342.850006,343.850006,341.859985,343.779999,326.433716,45242500
2020-10-09,345.559998,347.350006,344.890015,346.850006,329.348755,59528600
2020-10-12,349.589996,354.019989,349.059998,352.429993,334.647278,80388500
2020-10-13,352.279999,352.470001,349.089996,350.130005,332.463318,73255500
2020-10-14,350.750000,351.929993,347.140015,347.929993,330.374268,57727900
2020-10-15,343.709991,348.019989,343.130005,347.500000,329.966034,60357700
2020-10-16,348.959991,350.750000,347.100006,347.290009,329.766541,89501900
2020-10-19,348.649994,349.329987,341.040009,342.010010,324.753082,68425600
2020-10-20,343.459991,346.880005,342.640015,343.380005,326.053894,60051900
2020-10-21,343.329987,345.670013,342.399994,342.730011,325.436707,63575000
2020-10-22,342.959991,345.239990,340.649994,344.609985,327.221832,55399300
